latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
-7.697715,110.37447,210.0,28800,Asia/Singapore,GMT+8

time,temperature_2m_max (°C),temperature_2m_min (°C),apparent_temperature_max (°C),wind_gusts_10m_max (km/h),weather_code (wmo code),precipitation_sum (mm),precipitation_hours (h)
2020-04-02,29.2,23.8,35.8,23.0,65,34.00,12.0
2020-04-03,28.3,23.3,34.7,26.6,61,11.10,13.0
2020-04-04,28.5,23.3,35.3,24.8,63,20.90,13.0
2020-04-05,27.8,22.9,33.8,19.4,55,2.40,8.0
2020-04-06,25.6,22.6,30.9,21.6,63,19.30,13.0
2020-04-07,27.9,21.8,33.8,26.3,63,10.70,8.0
2020-04-08,28.2,22.2,34.5,27.4,55,3.50,6.0
2020-04-09,30.5,23.0,38.1,25.9,63,8.50,6.0
2020-04-10,30.1,22.6,36.6,26.3,63,15.40,11.0
2020-04-11,28.2,22.9,34.8,29.5,53,6.80,22.0
2020-04-12,29.0,22.5,34.8,24.5,53,2.40,11.0
2020-04-13,29.5,21.6,35.7,19.8,51,0.30,3.0
2020-04-14,29.0,21.9,35.0,20.9,55,3.30,7.0
2020-04-15,28.5,22.1,34.8,18.0,53,2.50,6.0
2020-04-16,29.9,22.6,36.5,21.6,65,12.00,6.0
2020-04-17,29.2,23.5,36.5,32.4,65,25.70,10.0
2020-04-18,28.8,22.8,35.0,20.9,63,14.00,9.0
2020-04-19,29.5,22.5,36.2,19.1,55,4.40,9.0
2020-04-20,29.0,23.0,36.6,18.0,53,3.60,9.0
2020-04-21,29.7,23.6,35.1,27.4,63,7.90,15.0
2020-04-22,31.0,24.1,37.0,24.1,53,2.50,10.0
2020-04-23,31.4,23.4,37.7,24.1,51,1.40,7.0
2020-04-24,30.7,23.8,35.8,32.4,61,5.60,12.0
2020-04-25,29.9,22.2,35.5,25.2,63,7.70,7.0
2020-04-26,29.6,23.4,34.9,29.2,53,2.40,11.0
2020-04-27,29.6,24.0,36.3,25.6,63,10.10,9.0
2020-04-28,28.5,22.7,34.5,20.2,63,11.60,11.0
2020-04-29,29.6,23.4,34.5,24.5,55,3.20,10.0
2020-04-30,29.5,22.5,34.7,32.4,51,1.60,6.0
2020-05-01,29.5,23.3,34.0,25.9,53,2.60,12.0
2020-05-02,29.0,22.6,34.5,19.8,53,1.50,9.0
2020-05-03,29.7,22.7,35.3,20.9,53,1.10,5.0
2020-05-04,30.6,23.0,35.9,26.6,55,2.10,5.0
2020-05-05,30.5,23.1,36.6,21.6,61,3.90,13.0
2020-05-06,30.1,24.0,35.1,28.1,63,9.90,11.0
2020-05-07,31.0,23.5,36.7,23.8,55,4.70,11.0
2020-05-08,30.5,22.9,37.0,24.8,63,10.40,12.0
2020-05-09,29.0,24.0,35.5,28.8,63,14.80,14.0
2020-05-10,29.9,22.5,36.6,22.7,63,11.40,8.0
2020-05-11,27.6,23.5,33.0,24.5,63,10.40,21.0
2020-05-12,30.3,23.2,36.0,23.0,51,0.70,3.0
2020-05-13,30.0,22.1,34.4,32.8,3,0.00,0.0
2020-05-14,29.6,22.0,33.5,33.1,51,1.10,9.0
2020-05-15,31.0,21.8,35.8,26.6,55,4.30,8.0
2020-05-16,30.3,23.0,35.4,28.1,61,6.40,14.0
2020-05-17,29.5,23.0,35.5,31.0,63,10.40,11.0
2020-05-18,30.0,23.0,35.8,25.2,63,22.90,12.0
2020-05-19,28.1,23.5,33.3,20.9,61,21.40,21.0
2020-05-20,30.0,23.0,36.9,17.6,53,2.40,7.0
2020-05-21,27.5,23.2,32.0,23.4,3,0.00,0.0
2020-05-22,29.2,22.6,34.9,19.1,51,0.60,5.0
2020-05-23,30.3,23.2,36.9,32.0,3,0.00,0.0
2020-05-24,30.5,22.5,37.0,19.4,3,0.00,0.0
2020-05-25,28.8,23.8,34.4,25.9,63,6.80,10.0
2020-05-26,27.6,23.7,33.5,27.0,63,11.40,17.0
2020-05-27,28.3,22.6,34.8,28.1,65,21.00,13.0
2020-05-28,27.0,23.0,31.8,26.6,63,14.30,17.0
2020-05-29,28.8,22.6,34.7,23.8,61,3.30,9.0
2020-05-30,29.5,22.9,35.9,26.6,63,16.40,13.0
2020-05-31,26.3,23.5,31.7,22.7,63,31.20,22.0
2020-06-01,28.7,22.5,33.9,25.6,61,6.20,12.0
2020-06-02,27.5,22.7,32.9,22.3,63,6.80,11.0
2020-06-03,30.2,22.8,34.8,21.6,3,0.00,0.0
2020-06-04,29.0,22.2,32.4,32.0,51,1.20,5.0
2020-06-05,27.8,20.6,31.6,30.6,55,4.60,12.0
2020-06-06,27.6,22.4,32.6,23.4,61,10.50,17.0
2020-06-07,28.8,22.1,34.4,23.8,63,15.00,17.0
2020-06-08,28.0,23.1,32.7,25.2,63,10.40,17.0
2020-06-09,27.9,22.4,33.1,27.4,55,3.70,14.0
2020-06-10,29.8,21.5,33.9,23.8,51,0.10,1.0
2020-06-11,28.6,21.9,33.6,21.2,51,0.20,1.0
2020-06-12,28.4,21.2,33.1,22.3,51,0.10,1.0
2020-06-13,29.5,20.0,34.4,24.1,51,0.60,4.0
2020-06-14,28.2,21.4,33.3,31.3,65,15.60,14.0
2020-06-15,29.0,22.5,34.8,31.7,63,11.00,14.0
2020-06-16,29.9,22.5,34.5,25.6,53,2.00,10.0
2020-06-17,28.1,22.2,32.7,25.2,53,4.70,16.0
2020-06-18,28.9,22.8,33.9,32.4,55,3.50,9.0
2020-06-19,28.0,22.6,32.0,30.6,55,4.40,10.0
2020-06-20,28.6,21.3,32.7,27.4,53,3.10,9.0
2020-06-21,28.8,20.3,33.9,23.8,65,20.70,11.0
2020-06-22,28.4,22.2,32.5,29.2,63,17.90,9.0
2020-06-23,29.1,22.9,33.0,29.5,53,2.50,6.0
2020-06-24,28.1,22.2,31.4,33.1,53,2.20,12.0
2020-06-25,28.6,20.6,33.1,21.6,51,0.10,1.0
2020-06-26,28.5,19.2,33.2,21.2,3,0.00,0.0
2020-06-27,29.1,19.6,33.1,24.8,51,0.10,1.0
2020-06-28,28.2,20.0,32.6,18.4,3,0.00,0.0
2020-06-29,29.0,21.0,32.9,34.2,51,0.50,4.0
2020-06-30,29.0,19.5,33.3,23.8,51,0.30,3.0
2020-07-01,28.4,19.8,31.4,31.3,63,5.60,6.0
2020-07-02,28.6,20.6,32.8,23.8,53,2.00,8.0
2020-07-03,28.1,21.4,30.8,28.8,51,0.40,4.0
2020-07-04,29.4,19.9,33.7,22.0,3,0.00,0.0
2020-07-05,30.1,20.9,33.5,23.0,53,1.40,5.0
2020-07-06,29.5,22.0,33.7,29.2,61,5.60,10.0
2020-07-07,29.1,22.0,31.8,31.3,51,0.60,4.0
2020-07-08,28.4,20.1,30.8,33.1,51,1.00,7.0
2020-07-09,28.5,21.0,31.6,29.9,51,1.90,8.0
2020-07-10,28.1,21.2,32.3,27.7,53,3.20,11.0
2020-07-11,29.8,20.8,33.7,29.5,53,0.70,3.0
2020-07-12,28.3,21.1,32.5,22.0,51,0.70,7.0
2020-07-13,31.0,21.1,35.3,23.8,53,1.40,5.0
2020-07-14,29.5,21.4,33.7,24.1,51,0.80,7.0
2020-07-15,30.1,21.3,34.0,33.1,63,6.20,8.0
2020-07-16,30.5,22.5,35.1,23.8,53,1.60,5.0
2020-07-17,30.1,21.6,35.6,30.2,51,0.20,2.0
2020-07-18,29.5,21.6,33.1,34.6,51,0.70,5.0
2020-07-19,30.0,20.2,35.2,35.3,53,2.40,6.0
2020-07-20,29.5,22.6,32.8,27.4,51,1.00,8.0
2020-07-21,27.9,23.2,32.1,21.2,53,6.70,23.0
2020-07-22,30.2,21.5,34.1,27.4,51,0.80,8.0
2020-07-23,29.5,21.2,33.0,26.3,3,0.00,0.0
2020-07-24,29.8,19.9,32.4,32.8,3,0.00,0.0
2020-07-25,29.0,17.9,31.1,32.8,3,0.00,0.0
