latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
-7.697715,110.37447,210.0,28800,Asia/Singapore,GMT+8

time,temperature_2m_max (°C),temperature_2m_min (°C),apparent_temperature_max (°C),wind_gusts_10m_max (km/h),weather_code (wmo code),precipitation_sum (mm),precipitation_hours (h)
2021-02-04,29.4,22.3,35.6,42.1,63,12.00,12.0
2021-02-05,28.9,22.4,32.8,38.9,63,9.20,7.0
2021-02-06,28.2,22.3,34.0,46.4,63,8.20,12.0
2021-02-07,29.1,21.3,33.3,39.2,61,4.90,10.0
2021-02-08,29.0,23.2,35.0,38.2,61,8.40,15.0
2021-02-09,28.1,22.2,33.7,34.2,65,13.40,13.0
2021-02-10,26.1,22.9,31.7,23.4,65,31.30,20.0
2021-02-11,27.3,23.5,32.5,36.0,61,5.90,14.0
2021-02-12,28.0,22.9,33.9,29.5,63,13.00,17.0
2021-02-13,27.6,22.9,32.6,29.9,65,67.60,20.0
2021-02-14,26.8,22.2,32.9,28.4,63,6.40,14.0
2021-02-15,28.7,22.0,36.0,26.3,53,4.80,14.0
2021-02-16,29.0,22.6,35.9,27.7,63,10.40,10.0
2021-02-17,26.7,22.5,31.3,28.4,65,59.10,19.0
2021-02-18,29.4,22.2,35.3,38.9,63,12.40,11.0
2021-02-19,26.6,22.6,31.7,29.2,63,27.40,24.0
2021-02-20,28.2,21.9,36.0,33.8,61,7.40,15.0
2021-02-21,29.0,21.9,35.1,25.6,63,12.60,8.0
2021-02-22,28.0,22.5,33.9,34.2,63,5.50,6.0
2021-02-23,27.0,22.5,30.8,38.5,61,5.80,12.0
2021-02-24,25.9,22.6,29.7,47.2,63,19.00,20.0
2021-02-25,28.9,22.0,34.5,35.6,63,9.00,13.0
2021-02-26,26.9,22.7,33.0,34.2,63,21.90,19.0
2021-02-27,29.5,22.0,37.1,36.4,65,23.80,11.0
2021-02-28,28.1,22.4,32.7,37.4,53,2.50,11.0
2021-03-01,30.2,22.2,36.1,39.6,51,0.50,3.0
2021-03-02,29.6,21.8,36.5,31.0,63,7.10,3.0
2021-03-03,29.8,21.7,37.5,25.2,63,11.00,12.0
2021-03-04,29.0,23.5,34.8,31.3,63,8.20,7.0
2021-03-05,29.0,22.6,34.6,21.2,3,0.00,0.0
2021-03-06,29.1,21.8,34.9,25.9,63,8.40,8.0
2021-03-07,26.5,22.0,31.0,23.4,61,11.50,15.0
2021-03-08,27.5,22.1,31.7,25.2,53,4.50,14.0
2021-03-09,26.9,21.9,31.4,15.1,53,1.30,4.0
2021-03-10,29.2,21.1,36.3,26.3,65,14.90,12.0
2021-03-11,28.6,22.5,35.2,24.8,63,12.30,16.0
2021-03-12,29.0,21.9,35.6,25.2,63,11.10,7.0
2021-03-13,28.2,21.4,32.9,39.2,61,2.40,8.0
2021-03-14,28.6,22.2,33.8,33.5,63,5.40,7.0
2021-03-15,28.8,22.0,35.1,29.5,61,3.10,6.0
2021-03-16,28.5,21.5,34.6,22.0,55,2.60,6.0
2021-03-17,29.1,21.4,36.1,26.6,61,4.70,7.0
2021-03-18,28.8,22.0,35.2,31.7,63,12.00,9.0
2021-03-19,29.2,22.5,35.3,32.8,63,4.50,9.0
2021-03-20,28.4,22.0,34.9,30.2,63,5.70,13.0
2021-03-21,29.0,22.6,35.0,30.2,63,6.10,11.0
2021-03-22,29.0,23.0,34.9,24.8,63,9.00,6.0
2021-03-23,28.8,23.0,35.2,27.4,53,2.50,11.0
2021-03-24,29.2,22.6,35.4,25.6,53,3.20,7.0
2021-03-25,28.6,22.2,36.0,27.7,63,11.60,7.0
2021-03-26,29.5,22.4,36.1,25.2,63,8.20,14.0
2021-03-27,28.5,22.6,35.3,27.0,63,9.60,9.0
2021-03-28,27.6,22.8,33.8,28.4,63,9.20,17.0
2021-03-29,28.9,22.0,35.8,29.2,63,8.20,13.0
2021-03-30,28.8,23.1,33.7,27.0,61,6.50,14.0
2021-03-31,28.6,22.5,36.2,25.6,63,8.00,11.0
2021-04-01,29.5,22.6,36.0,34.2,65,53.00,13.0
2021-04-02,29.1,23.0,35.8,25.2,63,8.40,9.0
2021-04-03,30.5,23.2,38.8,33.5,63,5.20,8.0
2021-04-04,30.0,22.9,37.5,29.2,65,10.90,10.0
2021-04-05,29.3,23.9,36.4,21.6,61,4.60,10.0
2021-04-06,30.2,23.0,37.0,32.8,63,9.10,10.0
2021-04-07,28.5,23.5,34.3,28.4,63,7.50,14.0
2021-04-08,30.2,21.7,36.7,31.7,61,2.50,5.0
2021-04-09,30.4,22.5,37.5,25.9,63,7.30,8.0
2021-04-10,29.1,23.4,36.4,21.6,61,3.30,8.0
2021-04-11,29.5,22.8,36.7,26.6,63,8.70,14.0
2021-04-12,29.5,22.9,36.4,25.9,63,3.90,6.0
2021-04-13,27.5,22.4,34.3,27.7,61,6.40,11.0
2021-04-14,27.8,21.9,33.5,20.5,55,4.80,12.0
2021-04-15,29.2,22.0,34.2,27.0,53,4.40,12.0
2021-04-16,29.5,22.3,35.2,25.2,61,4.40,10.0
2021-04-17,28.8,22.5,33.8,30.6,53,2.30,11.0
2021-04-18,28.8,22.5,35.0,20.2,65,9.80,12.0
2021-04-19,29.5,22.0,34.7,31.0,51,1.70,10.0
2021-04-20,29.8,20.0,34.3,25.9,2,0.00,0.0
2021-04-21,29.5,19.2,33.4,27.0,2,0.00,0.0
2021-04-22,29.4,19.8,34.0,27.7,51,0.40,4.0
2021-04-23,28.0,19.8,33.5,28.8,53,2.30,9.0
2021-04-24,28.5,20.4,33.2,24.8,53,2.30,9.0
2021-04-25,29.6,22.8,34.6,21.6,53,3.20,10.0
2021-04-26,30.8,22.5,35.0,24.5,53,3.80,10.0
2021-04-27,30.0,22.0,34.3,28.1,51,0.10,1.0
2021-04-28,28.4,23.0,32.5,31.3,53,3.60,12.0
2021-04-29,28.9,22.4,34.1,25.2,51,1.00,6.0
2021-04-30,29.1,23.1,35.0,23.0,63,10.60,12.0
2021-05-01,30.5,22.4,35.7,27.7,53,1.20,4.0
2021-05-02,30.9,23.5,36.4,21.2,53,2.10,7.0
2021-05-03,30.9,23.4,36.2,24.1,51,0.40,1.0
2021-05-04,30.1,23.0,34.8,23.8,53,1.20,4.0
2021-05-05,29.7,23.0,34.8,25.2,53,3.20,9.0
2021-05-06,30.6,23.6,36.2,23.0,53,3.10,13.0
2021-05-07,29.8,23.0,35.0,25.2,51,2.50,13.0
2021-05-08,29.9,23.1,33.2,31.0,53,0.90,3.0
2021-05-09,29.4,20.2,34.1,23.0,3,0.00,0.0
2021-05-10,30.6,19.7,35.0,34.2,51,0.50,2.0
2021-05-11,31.8,21.2,36.0,28.4,51,1.10,7.0
2021-05-12,31.0,23.4,35.2,29.2,53,1.70,7.0
2021-05-13,31.5,21.3,35.7,24.1,51,0.70,5.0
2021-05-14,31.2,21.6,36.2,23.8,53,2.60,12.0
2021-05-15,31.1,23.3,35.9,27.4,51,1.70,11.0
2021-05-16,30.8,22.4,35.1,28.8,51,1.20,7.0
2021-05-17,29.1,22.0,33.3,24.1,61,9.00,12.0
2021-05-18,28.9,22.5,33.7,22.0,61,5.00,13.0
2021-05-19,29.4,22.7,34.1,18.7,55,2.40,8.0
2021-05-20,29.0,23.0,34.0,22.0,61,5.30,12.0
2021-05-21,30.5,22.1,34.5,24.8,53,1.70,7.0
2021-05-22,30.0,22.2,34.6,22.0,53,2.00,7.0
2021-05-23,29.0,22.5,34.3,20.9,53,4.30,12.0
2021-05-24,29.4,23.0,34.0,25.6,53,3.70,15.0
2021-05-25,28.8,23.5,33.0,21.2,61,10.70,13.0
2021-05-26,30.8,22.9,36.6,18.0,53,1.20,7.0
2021-05-27,31.3,22.0,36.9,16.2,51,0.30,2.0
2021-05-28,31.2,23.0,36.3,27.4,63,7.70,13.0
2021-05-29,28.4,23.4,33.5,22.7,61,6.60,11.0
2021-05-30,30.0,22.2,35.3,23.4,51,0.70,4.0
2021-05-31,29.6,22.1,34.9,25.9,53,1.40,6.0
2021-06-01,29.8,22.5,35.2,20.2,55,3.00,10.0
2021-06-02,30.9,23.0,36.5,19.8,53,2.60,9.0
2021-06-03,31.6,23.2,35.9,24.5,51,0.30,2.0
2021-06-04,32.2,22.8,36.8,34.9,51,0.10,1.0
2021-06-05,31.6,22.2,37.1,31.7,51,0.20,2.0
2021-06-06,30.5,22.9,35.0,30.2,53,4.10,11.0
2021-06-07,29.5,22.2,33.8,22.7,51,1.50,10.0
2021-06-08,31.4,21.6,36.4,30.6,55,2.90,8.0
2021-06-09,30.7,22.6,35.3,28.1,61,7.60,13.0
2021-06-10,29.6,22.8,35.2,26.6,53,3.80,12.0
2021-06-11,30.1,22.5,34.7,27.4,63,34.00,16.0
2021-06-12,29.4,22.6,36.1,23.8,61,8.80,14.0
2021-06-13,30.5,22.6,34.9,28.1,53,1.50,4.0
2021-06-14,29.3,23.0,34.2,18.0,55,2.00,6.0
2021-06-15,29.9,22.9,36.7,29.9,63,7.80,10.0
2021-06-16,29.6,22.1,35.5,26.3,65,56.00,12.0
2021-06-17,27.2,22.5,32.0,19.8,65,79.20,9.0
2021-06-18,28.6,21.8,33.8,27.7,53,0.90,3.0
2021-06-19,27.5,22.4,32.5,23.8,65,24.80,20.0
2021-06-20,27.9,22.8,33.2,19.4,55,4.40,9.0
2021-06-21,26.9,21.9,31.3,20.5,61,9.40,19.0
2021-06-22,28.0,22.5,33.1,24.8,63,12.40,17.0
2021-06-23,26.8,21.7,32.5,23.8,63,15.90,19.0
2021-06-24,26.5,22.2,32.1,26.6,65,24.00,17.0
2021-06-25,28.9,22.0,33.6,25.9,63,11.70,9.0
2021-06-26,29.4,22.0,34.8,24.8,63,5.30,6.0
2021-06-27,30.1,21.8,34.8,25.9,61,4.90,7.0
2021-06-28,28.3,21.6,34.1,23.4,63,11.10,10.0
2021-06-29,28.6,21.8,35.1,27.7,63,6.80,9.0
2021-06-30,29.5,22.4,34.0,27.4,55,5.10,13.0
2021-07-01,29.1,21.6,33.9,22.3,51,1.20,9.0
2021-07-02,29.6,20.8,34.0,24.8,3,0.00,0.0
2021-07-03,27.9,20.5,32.1,24.8,51,1.30,7.0
2021-07-04,28.0,21.6,32.5,23.0,51,0.80,4.0
2021-07-05,28.4,19.6,31.3,30.6,51,0.10,1.0
2021-07-06,27.2,19.1,29.5,29.9,3,0.00,0.0
2021-07-07,28.1,18.1,31.7,32.8,51,0.10,1.0
2021-07-08,28.6,18.8,33.4,19.8,51,0.50,3.0
2021-07-09,29.6,21.5,34.2,24.8,63,13.50,13.0
2021-07-10,30.3,21.8,35.6,21.2,63,8.00,7.0
2021-07-11,31.4,22.2,35.4,27.0,3,0.00,0.0
2021-07-12,28.5,20.5,33.4,25.9,53,1.50,4.0
2021-07-13,28.2,21.9,32.2,26.6,51,1.80,7.0
2021-07-14,28.5,21.8,30.7,29.2,53,2.00,10.0
2021-07-15,28.5,21.2,30.2,36.4,51,1.00,7.0
2021-07-16,28.8,19.5,32.1,31.7,3,0.00,0.0
2021-07-17,29.0,19.5,33.2,29.5,53,2.00,6.0
2021-07-18,29.3,20.5,33.6,31.0,3,0.00,0.0
2021-07-19,29.8,21.2,34.9,32.0,53,2.30,9.0
2021-07-20,31.5,22.3,36.2,33.1,53,3.30,12.0
2021-07-21,29.4,22.2,34.1,23.4,51,1.40,10.0
2021-07-22,27.1,20.4,30.7,19.1,3,0.00,0.0
2021-07-23,28.2,20.2,33.2,27.7,61,6.80,11.0
2021-07-24,29.5,20.5,34.4,29.9,2,0.00,0.0
2021-07-25,28.8,19.0,32.2,27.7,3,0.00,0.0
2021-07-26,29.0,17.0,33.0,27.4,3,0.00,0.0
2021-07-27,29.5,19.8,33.8,42.5,3,0.00,0.0
2021-07-28,28.9,21.3,31.9,37.4,3,0.00,0.0
2021-07-29,28.9,21.1,32.2,35.3,51,1.40,10.0
2021-07-30,28.8,19.7,33.2,26.6,53,3.00,8.0
2021-07-31,28.2,22.1,31.8,28.1,61,8.00,16.0
2021-08-01,26.9,21.2,30.0,31.0,55,6.10,11.0
2021-08-02,27.0,21.0,30.1,29.5,61,5.80,11.0
2021-08-03,26.8,22.0,30.8,34.2,63,9.60,17.0
2021-08-04,27.3,22.8,31.7,27.7,63,12.30,15.0
2021-08-05,30.0,22.1,35.2,27.0,63,11.20,12.0
2021-08-06,32.0,21.1,35.8,27.7,53,1.30,5.0
2021-08-07,30.1,23.2,36.5,25.9,53,1.20,7.0
2021-08-08,30.5,23.1,36.4,26.6,53,2.40,10.0
2021-08-09,30.6,21.6,35.4,26.6,55,4.00,10.0
2021-08-10,28.7,22.0,32.8,33.1,51,1.80,7.0
2021-08-11,29.5,20.4,31.5,37.8,2,0.00,0.0
2021-08-12,28.0,18.7,31.7,30.2,61,8.50,12.0
2021-08-13,28.9,20.5,33.9,25.2,63,17.00,12.0
2021-08-14,29.7,22.0,34.2,31.0,53,2.50,11.0
2021-08-15,31.5,20.2,35.8,22.3,51,0.40,3.0
2021-08-16,31.0,22.1,34.5,30.2,51,0.20,2.0
2021-08-17,29.4,20.5,34.0,26.6,51,0.40,4.0
2021-08-18,29.1,20.5,33.1,26.6,53,3.80,13.0
2021-08-19,28.1,21.9,31.0,30.2,53,2.30,7.0
2021-08-20,27.9,20.1,31.3,28.4,53,2.70,9.0
2021-08-21,27.5,22.5,32.7,30.2,61,13.40,21.0
2021-08-22,29.9,22.0,33.0,32.8,53,1.10,5.0
2021-08-23,29.5,21.1,33.9,33.1,51,0.10,1.0
2021-08-24,28.9,20.5,31.5,35.3,53,1.30,6.0
2021-08-25,27.4,21.2,30.6,32.0,51,2.20,11.0
2021-08-26,29.3,21.0,32.1,36.4,51,0.20,2.0
2021-08-27,27.9,18.7,30.3,34.6,51,0.70,5.0
2021-08-28,28.5,20.4,31.8,26.6,53,3.50,12.0
2021-08-29,29.5,20.5,33.7,33.5,51,1.30,12.0
2021-08-30,30.3,21.4,34.2,32.4,53,2.80,7.0
2021-08-31,30.8,21.6,35.5,33.5,53,3.20,17.0
2021-09-01,30.2,21.5,33.5,37.8,51,0.30,2.0
2021-09-02,29.7,21.2,32.4,34.9,51,1.50,7.0
2021-09-03,27.2,21.5,29.4,30.6,53,4.80,17.0
2021-09-04,26.9,21.0,30.2,29.9,55,5.10,12.0
2021-09-05,26.4,21.2,30.1,16.6,51,0.60,5.0
2021-09-06,31.0,20.6,35.7,30.6,61,4.90,8.0
2021-09-07,28.5,22.0,32.8,29.9,53,2.50,12.0
2021-09-08,29.8,21.4,32.7,36.7,51,1.70,10.0
2021-09-09,29.1,19.0,31.6,33.8,51,0.60,3.0
2021-09-10,29.5,20.5,34.2,32.0,61,5.40,10.0
2021-09-11,29.4,22.0,34.5,30.6,61,4.80,14.0
2021-09-12,28.7,22.1,33.6,32.8,65,29.60,18.0
2021-09-13,29.6,22.5,35.5,23.8,53,2.10,8.0
2021-09-14,27.9,22.4,33.8,25.2,65,19.90,19.0
2021-09-15,29.5,22.0,35.3,25.6,63,8.70,8.0
2021-09-16,30.0,22.9,35.7,25.9,61,7.20,21.0
2021-09-17,29.9,21.5,35.0,34.9,63,7.50,8.0
2021-09-18,28.9,20.8,33.2,25.9,53,3.40,11.0
2021-09-19,28.8,21.4,32.6,34.2,55,3.50,10.0
2021-09-20,27.7,21.5,31.2,30.6,53,2.90,9.0
2021-09-21,28.0,20.9,33.2,26.3,63,25.20,10.0
2021-09-22,30.9,21.6,34.7,34.2,63,9.80,9.0
2021-09-23,31.0,21.9,35.9,34.6,63,11.30,12.0
2021-09-24,30.5,22.3,35.6,30.6,55,4.60,14.0
2021-09-25,30.5,22.5,36.2,27.0,61,9.50,17.0
2021-09-26,29.5,22.6,35.7,25.9,63,6.90,11.0
2021-09-27,29.4,22.2,33.6,30.6,3,0.00,0.0
2021-09-28,27.8,21.3,30.6,32.8,51,1.00,9.0
2021-09-29,28.9,19.9,33.8,32.0,51,0.80,4.0
2021-09-30,28.8,22.2,33.9,28.1,51,0.70,5.0
2021-10-01,28.4,21.0,33.3,26.3,53,4.30,14.0
2021-10-02,29.4,20.6,34.3,31.3,53,2.20,10.0
2021-10-03,28.0,22.4,32.2,26.3,51,2.30,13.0
2021-10-04,27.6,21.9,30.8,29.9,51,0.30,2.0
2021-10-05,26.6,21.6,31.2,30.2,51,3.20,14.0
2021-10-06,28.0,21.5,31.6,33.5,53,4.90,16.0
2021-10-07,28.5,20.6,32.4,28.8,3,0.00,0.0
2021-10-08,26.8,20.8,31.0,32.0,61,8.10,14.0
2021-10-09,28.8,22.5,33.5,33.5,53,5.80,21.0
2021-10-10,29.5,22.8,34.9,31.3,53,4.30,19.0
2021-10-11,27.9,22.5,33.5,29.2,61,7.20,18.0
2021-10-12,30.2,21.8,34.6,38.9,51,1.40,8.0
2021-10-13,29.5,21.8,34.3,31.3,3,0.00,0.0
2021-10-14,28.6,21.7,33.9,28.8,51,0.40,3.0
2021-10-15,28.8,20.9,33.7,23.4,55,2.00,5.0
2021-10-16,29.7,23.3,33.9,27.7,51,1.40,10.0
2021-10-17,30.5,21.9,36.4,26.3,61,2.90,9.0
2021-10-18,29.5,22.2,36.1,30.2,65,25.00,13.0
2021-10-19,29.6,21.8,35.8,25.6,61,6.30,13.0
2021-10-20,30.4,22.2,37.5,26.6,61,5.40,15.0
2021-10-21,30.1,22.9,37.0,29.5,63,5.70,12.0
2021-10-22,28.8,22.1,34.1,27.7,63,17.30,15.0
2021-10-23,29.7,20.9,36.1,23.8,65,17.50,12.0
2021-10-24,29.5,22.5,35.4,26.3,51,2.50,10.0
2021-10-25,29.1,22.8,34.9,30.2,53,2.70,17.0
2021-10-26,27.3,22.9,32.7,26.3,63,10.80,18.0
2021-10-27,29.3,22.8,36.2,35.6,65,35.10,17.0
2021-10-28,29.8,22.0,37.0,25.6,65,27.40,10.0
2021-10-29,27.1,22.2,32.6,21.2,63,20.00,17.0
2021-10-30,27.5,22.7,32.7,21.2,63,15.20,19.0
2021-10-31,28.7,21.6,34.0,27.0,65,39.30,15.0
2021-11-01,28.3,22.2,33.8,26.6,65,49.60,16.0
2021-11-02,26.3,21.9,31.1,26.3,63,11.00,13.0
2021-11-03,29.6,22.5,35.9,32.4,65,30.10,16.0
2021-11-04,29.5,22.0,36.8,26.6,63,24.50,14.0
2021-11-05,29.9,22.0,37.1,24.8,65,16.70,13.0
2021-11-06,30.4,22.5,37.7,26.6,65,34.50,11.0
2021-11-07,29.2,21.9,36.7,20.2,65,48.30,15.0
2021-11-08,29.3,21.8,33.8,24.5,63,7.30,7.0
2021-11-09,30.2,22.5,37.1,28.4,63,11.50,9.0
2021-11-10,26.7,23.1,30.6,29.2,63,16.40,21.0
2021-11-11,25.0,23.0,30.0,22.7,65,42.20,24.0
2021-11-12,27.0,22.2,31.9,31.7,65,17.40,13.0
2021-11-13,27.9,22.9,33.5,23.4,61,8.90,14.0
2021-11-14,25.1,22.7,29.6,23.8,63,22.50,22.0
2021-11-15,26.7,22.8,31.5,19.1,63,15.20,16.0
2021-11-16,28.0,22.4,33.6,24.5,63,14.70,17.0
2021-11-17,29.5,23.1,35.9,29.9,63,12.70,19.0
2021-11-18,27.5,22.4,32.8,20.5,63,10.50,14.0
2021-11-19,28.2,22.3,34.3,25.9,65,43.30,14.0
2021-11-20,27.3,21.4,32.1,20.5,63,16.70,11.0
2021-11-21,29.1,22.4,35.2,22.7,65,10.80,8.0
2021-11-22,28.0,22.8,33.6,20.9,63,10.50,12.0
2021-11-23,27.1,22.5,31.8,21.2,63,26.50,20.0
2021-11-24,28.5,23.0,33.1,24.1,53,2.40,8.0
2021-11-25,29.1,23.3,35.7,30.2,63,13.70,8.0
2021-11-26,27.4,22.7,32.6,28.8,63,13.60,15.0
2021-11-27,25.4,22.2,29.1,27.7,63,11.60,17.0
2021-11-28,26.3,22.6,30.7,26.6,65,17.00,10.0
2021-11-29,27.9,22.0,33.2,26.3,51,0.60,3.0
2021-11-30,28.5,21.2,34.5,28.4,63,19.10,9.0
2021-12-01,27.7,21.8,33.2,33.8,63,17.30,13.0
2021-12-02,30.5,22.3,34.9,31.3,53,1.20,7.0
2021-12-03,27.5,22.5,31.4,25.9,61,5.10,14.0
2021-12-04,28.0,23.0,32.1,35.6,63,20.00,17.0
2021-12-05,27.6,22.4,32.1,36.0,63,12.50,19.0
2021-12-06,28.5,22.9,33.8,27.7,55,3.70,9.0
2021-12-07,29.1,22.5,36.5,23.8,63,9.40,9.0
2021-12-08,30.2,23.2,36.6,22.7,53,1.70,6.0
2021-12-09,28.5,22.2,34.7,24.8,63,13.40,14.0
2021-12-10,28.8,22.5,35.4,27.0,55,4.50,12.0
2021-12-11,29.6,22.7,35.7,29.2,63,10.40,11.0
2021-12-12,28.9,23.0,33.9,31.7,53,1.90,9.0
2021-12-13,29.6,23.0,35.5,29.2,3,0.00,0.0
2021-12-14,27.4,23.4,32.2,31.7,53,2.00,10.0
2021-12-15,27.4,22.6,32.7,25.9,63,8.30,9.0
2021-12-16,26.4,23.5,32.2,29.9,63,19.00,19.0
2021-12-17,28.8,22.1,34.9,27.4,65,44.90,13.0
2021-12-18,28.6,22.8,34.9,24.5,65,19.70,17.0
2021-12-19,29.5,22.1,36.6,25.9,65,46.40,14.0
2021-12-20,25.2,22.2,30.4,13.7,63,17.80,22.0
2021-12-21,28.4,23.1,34.5,22.3,65,20.80,14.0
2021-12-22,28.7,22.5,36.0,21.2,63,10.30,11.0
2021-12-23,28.5,21.7,35.7,22.7,65,76.30,12.0
2021-12-24,29.9,22.4,36.9,31.0,63,18.00,15.0
2021-12-25,29.2,21.8,37.0,28.1,65,19.70,8.0
2021-12-26,29.1,22.4,35.2,31.7,63,6.90,8.0
2021-12-27,29.0,23.1,36.0,29.5,63,17.90,10.0
2021-12-28,29.3,21.8,35.1,26.6,63,7.20,7.0
2021-12-29,29.0,22.1,35.7,26.6,55,2.90,12.0
2021-12-30,27.4,22.6,32.6,26.6,63,8.50,17.0
2021-12-31,28.7,21.8,33.1,33.8,63,7.70,10.0
2022-01-01,28.9,22.1,35.6,33.8,63,11.00,10.0
2022-01-02,27.8,22.1,33.7,29.5,51,1.90,11.0
2022-01-03,28.5,22.9,32.9,28.1,51,0.20,2.0
2022-01-04,28.8,20.8,34.1,25.9,51,0.10,1.0
2022-01-05,29.2,21.6,34.0,25.6,51,0.40,2.0
2022-01-06,29.8,21.8,36.0,27.0,63,8.40,6.0
2022-01-07,28.8,22.9,33.5,29.5,55,3.90,10.0
2022-01-08,29.5,22.9,36.5,25.2,63,7.10,7.0
2022-01-09,27.7,21.5,33.9,31.7,65,20.70,9.0
2022-01-10,29.4,22.2,35.7,28.4,65,16.70,11.0
2022-01-11,28.5,22.1,33.8,34.6,65,30.10,13.0
2022-01-12,28.0,21.6,34.7,27.4,63,18.10,13.0
2022-01-13,28.1,22.0,33.8,25.9,63,22.80,16.0
2022-01-14,29.7,22.0,34.4,23.4,61,2.70,4.0
2022-01-15,29.5,21.3,35.2,33.5,61,6.40,10.0
2022-01-16,29.9,21.6,34.9,32.4,63,5.30,7.0
2022-01-17,29.1,21.4,35.5,29.2,63,5.10,7.0
2022-01-18,28.3,22.1,34.4,31.3,61,7.80,12.0
2022-01-19,28.6,21.2,35.2,31.0,65,22.90,14.0
2022-01-20,24.9,21.6,28.8,24.8,63,47.00,23.0
2022-01-21,28.5,22.5,34.8,28.8,63,10.50,18.0
2022-01-22,28.5,21.8,34.9,30.2,63,9.70,9.0
2022-01-23,28.6,22.4,32.9,33.5,63,9.20,8.0
2022-01-24,29.0,23.6,33.8,37.4,51,1.30,7.0
2022-01-25,28.6,23.0,34.2,40.7,61,6.80,9.0
2022-01-26,30.1,21.7,37.0,37.1,63,11.10,7.0
2022-01-27,29.2,22.1,35.5,34.2,63,7.40,10.0
2022-01-28,28.7,22.1,34.8,32.0,63,4.10,10.0
2022-01-29,29.4,22.3,36.0,24.1,61,3.80,10.0
2022-01-30,27.9,23.2,32.7,25.2,53,2.40,11.0
2022-01-31,29.5,22.4,35.7,31.7,63,5.80,3.0
2022-02-01,29.3,22.5,35.2,31.0,63,3.20,4.0
2022-02-02,29.4,22.0,37.1,27.0,63,17.90,11.0
2022-02-03,29.5,22.5,35.8,27.4,63,4.90,5.0
2022-02-04,29.7,21.8,36.2,25.2,63,5.70,5.0
2022-02-05,26.7,22.5,30.8,26.3,63,26.60,23.0
2022-02-06,29.0,23.1,35.9,28.4,65,24.80,16.0
2022-02-07,29.4,23.0,35.0,32.8,55,5.80,10.0
2022-02-08,30.0,22.1,37.4,20.5,61,4.90,8.0
2022-02-09,28.8,22.1,35.1,28.8,65,19.70,8.0
2022-02-10,29.8,22.6,35.9,27.0,51,0.90,6.0
2022-02-11,27.8,23.0,32.6,14.0,53,0.90,3.0
2022-02-12,30.1,22.5,35.4,27.0,63,9.90,8.0
2022-02-13,28.7,22.7,33.6,23.0,63,15.20,9.0
2022-02-14,27.1,23.1,30.6,20.5,61,9.20,16.0
2022-02-15,25.3,21.5,29.2,27.4,63,13.30,15.0
2022-02-16,28.2,21.8,35.3,26.6,63,15.30,14.0
2022-02-17,29.0,21.0,35.3,22.0,65,25.40,13.0
2022-02-18,27.0,22.3,33.0,19.8,65,16.70,15.0
2022-02-19,28.2,22.5,35.8,23.8,63,18.60,10.0
2022-02-20,27.6,21.6,32.6,20.5,53,0.50,1.0
2022-02-21,28.4,23.5,34.4,25.2,63,12.90,4.0
2022-02-22,28.7,20.9,33.1,33.1,63,5.60,5.0
2022-02-23,28.9,20.6,34.6,32.8,55,3.80,15.0
2022-02-24,28.3,21.6,34.0,35.6,53,2.70,13.0
2022-02-25,28.0,21.8,32.3,34.2,65,21.60,9.0
2022-02-26,28.9,21.4,35.8,27.4,63,14.80,14.0
2022-02-27,29.0,21.9,36.4,34.6,65,16.90,7.0
2022-02-28,28.5,22.4,34.2,37.1,63,10.00,9.0
2022-03-01,29.6,21.1,33.6,40.7,61,7.40,9.0
2022-03-02,28.1,22.5,32.3,39.6,63,13.10,12.0
2022-03-03,28.5,22.0,34.6,29.9,63,7.50,11.0
2022-03-04,28.0,21.5,34.2,28.8,63,6.30,7.0
2022-03-05,27.5,22.3,34.0,28.8,65,17.50,13.0
2022-03-06,28.0,21.2,32.9,27.0,63,7.30,10.0
2022-03-07,26.3,22.9,30.5,25.6,63,10.00,15.0
2022-03-08,27.1,22.0,33.3,23.8,61,5.10,16.0
2022-03-09,28.1,22.2,35.4,26.6,63,16.20,17.0
2022-03-10,28.7,22.3,34.7,25.6,63,17.40,22.0
2022-03-11,28.7,22.0,35.6,28.1,63,14.90,10.0
2022-03-12,28.1,21.9,36.0,23.0,63,6.50,10.0
2022-03-13,30.3,22.6,36.5,32.0,61,7.10,12.0
2022-03-14,29.5,23.0,37.7,31.7,65,21.60,13.0
2022-03-15,27.0,22.5,32.4,24.1,65,32.00,21.0
2022-03-16,28.0,22.6,34.7,27.4,63,16.00,12.0
2022-03-17,30.8,22.5,37.5,25.9,63,4.50,3.0
2022-03-18,27.8,22.1,34.2,24.8,65,21.00,10.0
2022-03-19,28.1,22.0,34.0,27.4,53,3.20,11.0
2022-03-20,29.0,22.9,35.8,29.9,63,9.00,13.0
2022-03-21,28.2,22.2,33.2,38.2,63,8.10,9.0
2022-03-22,29.8,21.2,37.0,24.1,63,10.70,9.0
2022-03-23,29.4,22.5,36.3,27.4,65,31.00,9.0
2022-03-24,29.3,21.8,36.2,23.4,63,13.30,9.0
2022-03-25,28.5,22.5,33.7,21.6,63,5.70,8.0
2022-03-26,28.5,22.2,35.7,23.0,63,10.30,15.0
2022-03-27,28.9,22.8,34.5,28.1,61,3.10,4.0
2022-03-28,29.3,21.9,37.5,26.6,55,4.70,11.0
2022-03-29,30.2,22.3,37.0,34.2,63,6.10,3.0
